Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28846,0.72115,2355313,6438,1980,0.0495,0,0,0.002,0,0.003,0.036,0,0.013,0.055,0,0,0.013,0.009,0,20.9677,555,32.2581,81.3182,125,125,1,0.045,5,0,463,326,223,592,396,0,0,0,0,0,384,382,329,569,336,0,0,0,0,0,50.4914,50.5049,50.5038,50.4966,50.4861,0,0,0,0,0,50.4984,50.4979,50.5003,50.5005,50.4916,0,0,0,0,0,0.20612,0.204259,0.20038,0.20199,0.206247,0,0,0,0,0,0.200479,0.204625,0.195904,0.203954,0.206315,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28846,0.72115,261344,6438,1980,0.0495,0,0,0.001,0.001,0.003,0.031,0.029,0.008,0.052,0,0,0.007,0.009,0,20.9677,555,32.2581,81.3182,125,125,1,0.04,5,0,463,326,223,592,396,0,0,0,0,0,384,382,329,569,336,0,0,0,0,0,50.4914,50.5049,50.5038,50.4966,50.4861,0,0,0,0,0,50.4984,50.4979,50.5003,50.5005,50.4916,0,0,0,0,0,0.20612,0.204259,0.20038,0.20199,0.206247,0,0,0,0,0,0.200479,0.204625,0.195904,0.203954,0.206315,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28970,0.72425,2085386,6458,1980,0.0495,0,0,0.001,0,0.025,0.036,0,0.008,0.046,0,0,0.007,0.004,0,17.3913,656,75.2609,117.884,36,36,1,0.04,4,4,2000,0,0,0,0,0,0,0,0,0,263,372,709,656,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5342,50.488,50.4977,50.4884,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.200139,0.203783,0.202739,0,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28970,0.72425,1222680,6458,1980,0.0495,0,0,0.001,0,0.028,0.035,0.032,0.007,0.05,0,0,0.007,0.005,0.001,17.3913,656,75.2609,117.884,36,36,1,0.04,4,4,2000,0,0,0,0,0,0,0,0,0,263,372,709,656,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5342,50.488,50.4977,50.4884,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.200139,0.203783,0.202739,0,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28691,0.717275,3659035,6443,1980,0.0495,0,0,0.001,0,0.001,0.039,0,0.004,0.046,0.001,0,0.004,0.006,0,29.0323,1161,64.5161,209.544,125,125,1,0.045,4,0,172,207,471,1150,0,0,0,0,0,0,130,241,468,1161,0,0,0,0,0,0,50.4884,50.4993,50.4989,50.4945,0,0,0,0,0,0,50.5005,50.4932,50.498,50.4989,0,0,0,0,0,0,0.208748,0.212001,0.20405,0.201914,0,0,0,0,0,0,0.196562,0.198272,0.202913,0.203906,0,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28738,0.71845,1634524,6458,1980,0.0495,0,0,0,0,0,0.032,0.031,0.004,0.044,0.001,0,0.004,0.005,0.001,29.0323,1161,64.5161,209.544,125,125,1,0.037,4,0,172,207,471,1150,0,0,0,0,0,0,130,241,468,1161,0,0,0,0,0,0,50.4884,50.4993,50.4989,50.4945,0,0,0,0,0,0,50.5005,50.4932,50.498,50.4989,0,0,0,0,0,0,0.208748,0.212001,0.20405,0.201914,0,0,0,0,0,0,0.196562,0.198272,0.202913,0.203906,0,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,28380,0.7095,2342547,6338,2015,0.050375,0,0,0,0,0.002,0.036,0,0.008,0.047,0,0,0.007,0.004,0,21.7742,479,32.2581,74.321,125,125,1,0.04,5,0,413,389,252,558,388,0,0,0,0,0,404,403,352,474,367,0,0,0,0,0,50.4952,50.5074,50.4984,50.4919,50.4871,0,0,0,0,0,50.4913,50.5047,50.5025,50.4968,50.5109,0,0,0,0,0,0.205565,0.203504,0.204629,0.201442,0.205984,0,0,0,0,0,0.204204,0.20691,0.207578,0.207566,0.208201,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,28380,0.7095,257960,6338,2015,0.050375,0,0,0.001,0,0.002,0.034,0.032,0.007,0.051,0.001,0,0.007,0.005,0.001,21.7742,479,32.2581,74.321,125,125,1,0.039,5,0,413,389,252,558,388,0,0,0,0,0,404,403,352,474,367,0,0,0,0,0,50.4952,50.5074,50.4984,50.4919,50.4871,0,0,0,0,0,50.4913,50.5047,50.5025,50.4968,50.5109,0,0,0,0,0,0.205565,0.203504,0.204629,0.201442,0.205984,0,0,0,0,0,0.204204,0.20691,0.207578,0.207566,0.208201,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,29093,0.727325,2085196,6473,2015,0.050375,0,0,0.001,0,0.024,0.037,0,0.006,0.045,0,0,0.005,0.01,0,17.3913,671,75.5,115.088,36,36,1,0.047,4,4,2000,0,0,0,0,0,0,0,0,0,375,305,649,671,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5367,50.4928,50.4854,50.501,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.201524,0.206694,0.204162,0,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,29093,0.727325,1197232,6473,2015,0.050375,0,0,0.001,0,0.027,0.033,0.033,0.008,0.047,0.001,0,0.008,0.004,0,17.3913,671,75.5,115.088,36,36,1,0.037,4,4,2000,0,0,0,0,0,0,0,0,0,375,305,649,671,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5367,50.4928,50.4854,50.501,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.201524,0.206694,0.204162,0,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,29069,0.726725,3676484,6461,2015,0.050375,0,0,0.002,0,0.001,0.036,0,0.006,0.048,0,0,0.006,0.006,0.001,29.0323,1184,64.5161,212.014,125,125,1,0.042,4,0,165,213,472,1150,0,0,0,0,0,0,113,209,494,1184,0,0,0,0,0,0,50.4857,50.5002,50.4993,50.4945,0,0,0,0,0,0,50.5101,50.4933,50.5027,50.5005,0,0,0,0,0,0,0.206994,0.212271,0.204462,0.201914,0,0,0,0,0,0,0.211191,0.205316,0.204976,0.207659,0,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,29192,0.7298,1666776,6490,2015,0.050375,0,0,0.001,0,0.001,0.03,0.028,0.005,0.046,0.001,0,0.004,0.007,0,29.0323,1184,64.5161,212.014,125,125,1,0.037,4,0,165,213,472,1150,0,0,0,0,0,0,113,209,494,1184,0,0,0,0,0,0,50.4857,50.5002,50.4993,50.4945,0,0,0,0,0,0,50.5101,50.4933,50.5027,50.5005,0,0,0,0,0,0,0.206994,0.212271,0.204462,0.201914,0,0,0,0,0,0,0.211191,0.205316,0.204976,0.207659,0,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample8.bin,SGrid,3,100,100,28622,0.71555,2431858,6483,2028,0.0507,0,0,0.001,0,0.002,0.035,0,0.011,0.05,0,0,0.01,0.004,0,16.9355,500,32.2581,78.9988,125,125,1,0.039,5,0,377,302,256,657,408,0,0,0,0,0,486,304,284,541,385,0,0,0,0,0,50.5022,50.5128,50.4908,50.491,50.4866,0,0,0,0,0,50.4976,50.5046,50.517,50.4948,50.5036,0,0,0,0,0,0.204617,0.207947,0.199443,0.202185,0.205739,0,0,0,0,0,0.202606,0.209477,0.207099,0.206336,0.206467,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample8.bin,SGrid,3,100,100,28622,0.71555,256788,6483,2028,0.0507,0,0,0.001,0,0.002,0.031,0.03,0.009,0.052,0,0,0.009,0.007,0.001,16.9355,500,32.2581,78.9988,125,125,1,0.038,5,0,377,302,256,657,408,0,0,0,0,0,486,304,284,541,385,0,0,0,0,0,50.5022,50.5128,50.4908,50.491,50.4866,0,0,0,0,0,50.4976,50.5046,50.517,50.4948,50.5036,0,0,0,0,0,0.204617,0.207947,0.199443,0.202185,0.205739,0,0,0,0,0,0.202606,0.209477,0.207099,0.206336,0.206467,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample8.bin,SGrid,3,100,100,29436,0.7359,2741152,6623,2028,0.0507,1,0,0.002,0,0.025,0.036,0,0.009,0.049,0,0,0.009,0.006,0,17.3913,1217,75.1087,188.957,36,36,1,0.042,4,4,2000,0,0,0,0,0,0,0,0,0,138,133,511,1217,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5343,50.4969,50.4944,50.5158,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.202579,0.203766,0.21208,0,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample8.bin,SGrid,3,100,100,29436,0.7359,1569636,6623,2028,0.0507,1,0,0,0,0.028,0.037,0.036,0.007,0.05,0,0,0.006,0.004,0,17.3913,1217,75.1087,188.957,36,36,1,0.041,4,4,2000,0,0,0,0,0,0,0,0,0,138,133,511,1217,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5343,50.4969,50.4944,50.5158,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.202579,0.203766,0.21208,0,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample8.bin,SGrid,3,100,100,29383,0.734575,3665691,6514,2028,0.0507,0,0,0,0,0.002,0.039,0,0.004,0.046,0,0,0.004,0.006,0,29.0323,1154,64.5161,209.649,125,125,1,0.045,4,0,152,223,475,1150,0,0,0,0,0,0,122,234,490,1154,0,0,0,0,0,0,50.4867,50.5013,50.498,50.4945,0,0,0,0,0,0,50.5269,50.4919,50.4952,50.5039,0,0,0,0,0,0,0.20731,0.213033,0.203915,0.201914,0,0,0,0,0,0,0.197751,0.204343,0.209391,0.205781,0,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample8.bin,SGrid,3,100,100,29326,0.73315,1637969,6476,2028,0.0507,0,0,0.001,0,0.001,0.033,0.033,0.003,0.048,0,0,0.003,0.009,0,29.0323,1154,64.5161,209.649,125,125,1,0.042,4,0,152,223,475,1150,0,0,0,0,0,0,122,234,490,1154,0,0,0,0,0,0,50.4867,50.5013,50.498,50.4945,0,0,0,0,0,0,50.5269,50.4919,50.4952,50.5039,0,0,0,0,0,0,0.20731,0.213033,0.203915,0.201914,0,0,0,0,0,0,0.197751,0.204343,0.209391,0.205781,0,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample9.bin,SGrid,3,100,100,28637,0.715925,2352589,6632,2059,0.051475,2,0,0.001,0,0.002,0.037,0,0.012,0.053,0,0,0.011,0.004,0,20.1613,527,32.2419,79.6174,125,125,1,0.041,5,0,411,369,255,565,398,0,0,0,0,0,415,339,347,551,348,0,0,0,0,0,50.4914,50.5076,50.4951,50.497,50.4861,0,0,0,0,0,50.5042,50.5074,50.4994,50.4958,50.4921,0,0,0,0,0,0.205089,0.20538,0.203774,0.200833,0.206207,0,0,0,0,0,0.2018,0.209269,0.20394,0.20472,0.204933,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample9.bin,SGrid,3,100,100,28637,0.715925,246145,6632,2059,0.051475,2,0,0,0,0.003,0.031,0.03,0.01,0.051,0,0,0.009,0.006,0,20.1613,527,32.2419,79.6174,125,125,1,0.037,5,0,411,369,255,565,398,0,0,0,0,0,415,339,347,551,348,0,0,0,0,0,50.4914,50.5076,50.4951,50.497,50.4861,0,0,0,0,0,50.5042,50.5074,50.4994,50.4958,50.4921,0,0,0,0,0,0.205089,0.20538,0.203774,0.200833,0.206207,0,0,0,0,0,0.2018,0.209269,0.20394,0.20472,0.204933,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample9.bin,SGrid,3,100,100,29219,0.730475,2059180,6782,2059,0.051475,0,0,0.002,0,0.024,0.039,0,0.007,0.048,0,0,0.006,0.007,0,17.3913,668,75.1304,114.791,36,36,1,0.046,4,4,2000,0,0,0,0,0,0,0,0,0,398,269,665,668,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5338,50.503,50.5024,50.4859,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.207021,0.203004,0.207887,0,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample9.bin,SGrid,3,100,100,29219,0.730475,1158396,6782,2059,0.051475,0,0,0.001,0,0.027,0.032,0.031,0.01,0.049,0,0,0.01,0.004,0,17.3913,668,75.1304,114.791,36,36,1,0.036,4,4,2000,0,0,0,0,0,0,0,0,0,398,269,665,668,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5338,50.503,50.5024,50.4859,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.207021,0.203004,0.207887,0,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample9.bin,SGrid,3,100,100,29123,0.728075,3655151,6810,2059,0.051475,0,0,0.001,0,0.001,0.037,0,0.006,0.045,0,0,0.006,0.005,0,29.0323,1150,64.5161,208.358,125,125,1,0.042,4,0,162,217,471,1150,0,0,0,0,0,0,112,254,495,1139,0,0,0,0,0,0,50.4866,50.4993,50.4992,50.4945,0,0,0,0,0,0,50.5137,50.5063,50.4935,50.4992,0,0,0,0,0,0,0.207223,0.213158,0.20393,0.201914,0,0,0,0,0,0,0.210609,0.209526,0.205403,0.202894,0,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample9.bin,SGrid,3,100,100,29186,0.72965,1618579,6815,2059,0.051475,0,0,0.002,0,0,0.031,0.03,0.006,0.045,0.001,0,0.005,0.005,0,29.0323,1150,64.5161,208.358,125,125,1,0.036,4,0,162,217,471,1150,0,0,0,0,0,0,112,254,495,1139,0,0,0,0,0,0,50.4866,50.4993,50.4992,50.4945,0,0,0,0,0,0,50.5137,50.5063,50.4935,50.4992,0,0,0,0,0,0,0.207223,0.213158,0.20393,0.201914,0,0,0,0,0,0,0.210609,0.209526,0.205403,0.202894,0,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample10.bin,SGrid,3,100,100,28324,0.7081,2328788,6453,2023,0.050575,0,0,0.003,0,0.002,0.035,0,0.016,0.056,0.001,0,0.015,0.004,0,20.1613,440,32.2581,73.4007,125,125,1,0.039,5,0,485,361,274,480,400,0,0,0,0,0,367,392,405,475,361,0,0,0,0,0,50.4981,50.5066,50.5005,50.4895,50.4861,0,0,0,0,0,50.4945,50.498,50.5089,50.5047,50.4914,0,0,0,0,0,0.2015,0.208881,0.20268,0.201655,0.206081,0,0,0,0,0,0.200391,0.209907,0.200553,0.203519,0.209047,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample10.bin,SGrid,3,100,100,28324,0.7081,263535,6453,2023,0.050575,0,0,0,0,0.003,0.031,0.03,0.01,0.051,0,0,0.009,0.006,0,20.1613,440,32.2581,73.4007,125,125,1,0.037,5,0,485,361,274,480,400,0,0,0,0,0,367,392,405,475,361,0,0,0,0,0,50.4981,50.5066,50.5005,50.4895,50.4861,0,0,0,0,0,50.4945,50.498,50.5089,50.5047,50.4914,0,0,0,0,0,0.2015,0.208881,0.20268,0.201655,0.206081,0,0,0,0,0,0.200391,0.209907,0.200553,0.203519,0.209047,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample10.bin,SGrid,3,100,100,28816,0.7204,2080008,6443,2023,0.050575,0,0,0.001,0,0.025,0.035,0,0.008,0.047,0.001,0,0.008,0.006,0,17.3913,665,75.1304,116.522,36,36,1,0.041,4,4,2000,0,0,0,0,0,0,0,0,0,304,348,683,665,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5347,50.5003,50.5025,50.5033,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.207907,0.205004,0.196391,0,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample10.bin,SGrid,3,100,100,28816,0.7204,1203704,6443,2023,0.050575,0,0,0.001,0,0.027,0.035,0.032,0.007,0.049,0.001,0,0.007,0.004,0.001,17.3913,665,75.1304,116.522,36,36,1,0.039,4,4,2000,0,0,0,0,0,0,0,0,0,304,348,683,665,0,0,0,0,0,0,50.4955,0,0,0,0,0,0,0,0,0,50.5347,50.5003,50.5025,50.5033,0,0,0,0,0,0,0.204098,0,0,0,0,0,0,0,0,0,-nan,0.207907,0.205004,0.196391,0,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample10.bin,SGrid,3,100,100,29256,0.7314,3662885,6708,2023,0.050575,0,0,0.002,0,0,0.035,0,0.006,0.044,0,0,0.005,0.006,0,29.0323,1156,64.5161,209.755,125,125,1,0.041,4,0,154,220,476,1150,0,0,0,0,0,0,114,240,490,1156,0,0,0,0,0,0,50.4857,50.5017,50.4982,50.4945,0,0,0,0,0,0,50.4917,50.5009,50.5003,50.5005,0,0,0,0,0,0,0.206842,0.212184,0.204497,0.201914,0,0,0,0,0,0,0.212556,0.20859,0.206314,0.202437,0,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample10.bin,SGrid,3,100,100,29284,0.7321,1639123,6690,2023,0.050575,0,0,0.002,0,0.001,0.031,0.03,0.006,0.046,0,0,0.005,0.005,0,29.0323,1156,64.5161,209.755,125,125,1,0.036,4,0,154,220,476,1150,0,0,0,0,0,0,114,240,490,1156,0,0,0,0,0,0,50.4857,50.5017,50.4982,50.4945,0,0,0,0,0,0,50.4917,50.5009,50.5003,50.5005,0,0,0,0,0,0,0.206842,0.212184,0.204497,0.201914,0,0,0,0,0,0,0.212556,0.20859,0.206314,0.202437,0,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28836,0.7209,2532661,6412,2028,0.0507,0,2,0.001,0,0.003,0.036,0,0.011,0.051,0,0,0.01,0.003,0,24.1935,675,32.2419,96.1156,125,125,1,0.039,5,0,261,249,249,824,417,0,0,0,0,0,328,379,258,679,354,0,0,0,0,0,50.5102,50.4828,50.5115,50.5039,50.4923,0,0,0,0,0,50.4936,50.5042,50.495,50.5019,50.4909,0,0,0,0,0,0.208471,0.206876,0.194087,0.201769,0.201235,0,0,0,0,0,0.201325,0.204397,0.192605,0.203671,0.206505,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,28836,0.7209,338865,6412,2028,0.0507,0,2,0.001,0,0.003,0.031,0.03,0.012,0.055,0,0,0.012,0.007,0,24.1935,675,32.2419,96.1156,125,125,1,0.038,5,0,261,249,249,824,417,0,0,0,0,0,328,379,258,679,354,0,0,0,0,0,50.5102,50.4828,50.5115,50.5039,50.4923,0,0,0,0,0,50.4936,50.5042,50.495,50.5019,50.4909,0,0,0,0,0,0.208471,0.206876,0.194087,0.201769,0.201235,0,0,0,0,0,0.201325,0.204397,0.192605,0.203671,0.206505,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,29282,0.73205,3373948,6446,2028,0.0507,0,0,0.001,0,0.028,0.038,0,0.006,0.047,0,0,0.006,0.006,0,17.3077,1583,70.3077,219.3,38,38,1,0.044,4,4,2000,0,0,0,0,0,0,0,0,0,69,56,292,1583,0,0,0,0,0,0,50.5006,0,0,0,0,0,0,0,0,0,50.5284,50.5127,50.5042,50.4934,0,0,0,0,0,0,0.202462,0,0,0,0,0,0,0,0,0,-nan,0.215449,0.198763,0.19762,0,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,29282,0.73205,1353384,6446,2028,0.0507,0,0,0.001,0,0.032,0.036,0.034,0.006,0.05,0,0,0.006,0.005,0,17.3077,1583,70.3077,219.3,38,38,1,0.041,4,4,2000,0,0,0,0,0,0,0,0,0,69,56,292,1583,0,0,0,0,0,0,50.5006,0,0,0,0,0,0,0,0,0,50.5284,50.5127,50.5042,50.4934,0,0,0,0,0,0,0.202462,0,0,0,0,0,0,0,0,0,-nan,0.215449,0.198763,0.19762,0,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,29427,0.735675,3982583,6468,2028,0.0507,0,0,0,0,0.001,0.04,0,0.003,0.045,0,0,0.003,0.006,0,29.0323,1697,64.5161,297.422,125,125,1,0.046,4,0,78,9,216,1697,0,0,0,0,0,0,61,43,232,1664,0,0,0,0,0,0,50.4643,50.5282,50.4977,50.5025,0,0,0,0,0,0,50.5057,50.5113,50.5001,50.4972,0,0,0,0,0,0,0.21149,0.186374,0.21262,0.200615,0,0,0,0,0,0,0.193778,0.212693,0.203826,0.202386,0,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,29398,0.73495,2921179,6472,2028,0.0507,0,0,0.001,0,0.001,0.035,0.034,0.003,0.049,0,0,0.003,0.009,0,29.0323,1697,64.5161,297.422,125,125,1,0.044,4,0,78,9,216,1697,0,0,0,0,0,0,61,43,232,1664,0,0,0,0,0,0,50.4643,50.5282,50.4977,50.5025,0,0,0,0,0,0,50.5057,50.5113,50.5001,50.4972,0,0,0,0,0,0,0.21149,0.186374,0.21262,0.200615,0,0,0,0,0,0,0.193778,0.212693,0.203826,0.202386,0,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,28990,0.72475,2407387,6571,2041,0.051025,0,0,0.001,0,0.002,0.036,0,0.011,0.05,0,0,0.01,0.005,0,19.3548,455,32.2581,75.3063,125,125,1,0.041,5,0,381,320,278,613,408,0,0,0,0,0,418,373,346,485,378,0,0,0,0,0,50.5016,50.4919,50.5089,50.5063,50.4923,0,0,0,0,0,50.4963,50.5006,50.5033,50.4957,50.5106,0,0,0,0,0,0.206578,0.208284,0.196522,0.199537,0.201743,0,0,0,0,0,0.200242,0.210331,0.209867,0.207308,0.207539,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,2000,2000,../../../data/samplesRandomExpand/2000/sample2.bin,../../../data/samplesRandomExpand/2000/sample7.bin,SGrid,3,100,100,28990,0.72475,248874,6571,2041,0.051025,0,0,0.001,0,0.002,0.03,0.03,0.008,0.051,0.001,0,0.007,0.007,0.001,19.3548,455,32.2581,75.3063,125,125,1,0.037,5,0,381,320,278,613,408,0,0,0,0,0,418,373,346,485,378,0,0,0,0,0,50.5016,50.4919,50.5089,50.5063,50.4923,0,0,0,0,0,50.4963,50.5006,50.5033,50.4957,50.5106,0,0,0,0,0,0.206578,0.208284,0.196522,0.199537,0.201743,0,0,0,0,0,0.200242,0.210331,0.209867,0.207308,0.207539,0,0,0,0,0
